NUMBER,SCRIPT_ID,IMDB,TITLE,YEAR,GROSS,GENRE,AWARD,NOTES,X
111,1872,tt0082089,Body Heat,1981,NA,drama,3,,
112,757,tt0106453,Body of Evidence,1993,27,crime,1,,
113,3951,tt0181984,Boiler Room,2000,27,drama,2,,
114,1879,tt0166110,Bones,2001,11,horror,1,,
117,1893,tt0115734,Bottle Rocket,1996,2,comedy,2,,
118,1895,tt0115736,Bound,1996,7,crime,2,,
119,3958,tt1781782,Boy Who Never Slept,2006,NA,drama,0,,
120,5287,tt0112571,Boys on the Side,1995,46,comedy,1,,
121,771,tt0112573,Braveheart,1995,151,drama,3,,
122,774,tt0088846,Brazil,1985,24,sci-fi,3,,
123,1921,tt0078902,Breaking Away,1979,NA,comedy,3,,
124,1922,tt0393109,Brick,2005,2,drama,3,,
125,776,tt0163988,Bringing Out the Dead,1999,28,drama,1,,
126,1928,tt0092699,Broadcast News,1987,113,comedy,3,,
127,779,tt0115759,Broken Arrow,1996,138,action,2,,
128,1933,tt0913425,Broken Embraces,2009,5,drama,3,,
129,781,tt0315327,Bruce Almighty,2003,350,comedy,2,,
130,1939,tt0103893,Buffy the Vampire Slayer,1992,34,sci-fi,1,,
131,1940,tt0094812,Bull Durham,1988,107,comedy,3,,
132,1943,tt1462758,Buried,2010,1,drama,2,,
133,785,tt0887883,Burn After Reading,2008,73,drama,3,,
134,1948,tt0307879,Burning Annie,2004,NA,comedy,1,,
135,1953,tt2387411,Candle to Water,2012,NA,drama,0,,
137,1962,tt0795351,Case 39,2009,15,horror,1,,
138,1963,tt0112641,Casino,1995,84,crime,3,,
139,789,tt0162222,Cast Away,2000,377,drama,3,,
140,1974,tt1477837,Cedar Rapids,2011,7,comedy,1,,
141,1975,tt1405365,Celeste & Jesse Forever,2012,3,comedy,1,,
142,793,tt0337921,Cellular,2004,44,action,1,,
143,795,tt0824747,Changeling,2008,43,drama,3,,
144,1985,tt0402910,Chaos,2005,NA,crime,0,,
