NUMBER,SCRIPT_ID,IMDB,TITLE,YEAR,GROSS,GENRE,AWARD,NOTES,X
487,3031,tt0349903,Ocean's Twelve,2004,176,crime,1,,
488,3033,tt0151804,Office Space,1999,18,comedy,1,,
490,3040,tt1602613,Only God Forgives,2013,0,crime,1,,
491,4758,tt0110737,Only You,1994,41,comedy,0,,
492,3042,tt0081283,Ordinary People,1980,177,drama,3,,
494,1211,tt1148204,Orphan,2009,48,horror,1,,
495,3047,tt0120780,Out of Sight,1998,69,crime,3,,
496,1215,tt0258000,Panic Room,2002,142,horror,1,,
497,4765,tt0114084,Panther,1995,13,drama,1,,
498,3059,tt2006810,Papadopoulos & Sons,2012,NA,comedy,1,,
499,3062,tt1233334,Pariah,2011,0,drama,1,,
500,1219,tt0213149,Pearl Harbor,2001,305,drama,2,,
502,1220,tt0091738,Peggy Sue Got Married,1986,97,sci-fi,3,,
503,3076,tt0403407,Perfect Creature,2006,NA,sci-fi,1,,
504,3082,tt0098084,Pet Sematary,1989,126,horror,1,,
505,1223,tt0105128,Pet Sematary II,1992,35,horror,1,,
507,3087,tt0107818,Philadelphia,1993,162,drama,3,,
508,3089,tt0183649,Phone Booth,2002,69,action,1,,
509,3091,tt0138704,Pi,1998,5,horror,1,,
510,3097,tt0910936,Pineapple Express,2008,105,comedy,3,,
511,3105,tt0134847,Pitch Black,2000,63,sci-fi,1,,
513,3110,tt0091763,Platoon,1986,323,drama,3,,
514,3113,tt0120789,Pleasantville,1998,75,sci-fi,2,,
515,8652,tt0114148,Pocahontas,1995,284,drama,2,,
516,3116,tt0102685,Point Break,1991,89,crime,1,,
519,3124,tt0929632,Precious,2009,55,drama,3,,
520,1244,tt0093773,Predator,1987,132,sci-fi,2,,
521,1245,tt0100405,Pretty Woman,1990,366,comedy,3,,
522,3133,tt0414387,Pride & Prejudice,2005,52,drama,3,,
524,4829,tt1152836,Public Enemies,2009,112,crime,1,,
525,1257,tt0110912,Pulp Fiction,1994,224,drama,3,,
526,1253,tt0272338,Punch-Drunk Love,2002,26,comedy,3,,
527,1256,tt0087957,Purple Rain,1984,NA,drama,2,,
529,3162,tt0238546,Queen of the Damned,2002,45,sci-fi,1,,
530,4838,tt0180073,Quills,2000,11,drama,3,,
531,3167,tt1084950,Rachel Getting Married,2008,15,drama,3,,
532,3169,tt0081398,Raging Bull,1980,NA,drama,3,,
533,1034,tt0082971,Raiders of the Lost Ark,1981,9,action,3,,
534,3174,tt0102753,Rambling Rose,1991,12,drama,3,,
535,1264,tt0089880,Rambo: First Blood Part II,1985,367,action,2,,
536,1267,tt0089886,Real Genius,1985,31,comedy,1,,
538,3190,tt0184858,Reindeer Games,2000,37,action,1,,
539,3194,tt1403981,Remember Me,2010,21,drama,1,,
540,4863,tt0294870,Rent,2005,39,drama,1,,
541,1273,tt0087995,Repo Man,1984,NA,crime,1,,
542,4866,tt0180093,Requiem for a Dream,2000,5,drama,3,,
543,3202,tt0105236,Reservoir Dogs,1992,5,crime,1,,
544,3204,tt0120804,Resident Evil,2002,59,sci-fi,1,,
545,4871,tt0122459,Return to Me,2000,52,drama,1,,
546,3209,tt0959337,Revolutionary Road,2008,27,drama,3,,
548,3216,tt0120801,RKO 281,1999,NA,drama,3,,
549,1285,tt1032755,RocknRolla,2008,6,crime,1,,
550,1284,tt0075148,Rocky,1976,477,drama,3,,
551,1286,tt1645131,Romeo & Juliet,2013,1,drama,1,,
552,4888,tt0117509,Romeo + Juliet,1996,91,drama,3,,
553,1287,tt0122690,Ronin,1998,77,crime,1,,
555,3242,tt0163187,Runaway Bride,1999,260,comedy,1,,
556,3244,tt1979320,Rush,2013,28,action,3,,
557,3248,tt0120812,Rush Hour,1998,261,comedy,1,,
558,3250,tt0266915,Rush Hour 2,2001,347,comedy,1,,
559,3254,tt2053425,Rust and Bone,2012,2,drama,3,,
560,1297,tt1231277,S. Darko,2009,NA,sci-fi,0,,
561,3345,tt0258153,S1m0ne,2002,14,sci-fi,1,,
563,1295,tt0206275,Save the Last Dance,2001,139,drama,1,,
564,3265,tt2140373,Saving Mr. Banks,2013,89,drama,3,,
565,3271,tt0387564,Saw,2004,77,horror,1,,
566,4914,tt0098258,Say Anything...,1989,45,comedy,1,,
567,4918,tt0257106,Scary Movie 2,2001,109,comedy,1,,
568,4920,tt0117571,Scream,1996,202,horror,1,,
569,3285,tt0134084,Scream 3,2000,143,horror,1,,
570,3288,tt0114369,Se7en,1995,200,crime,3,,
571,3293,tt0114388,Sense and Sensibility,1995,85,drama,3,,
572,1310,tt0111127,Serial Mom,1994,16,horror,1,,
573,4938,tt0221928,Seven Days to Live,2000,NA,horror,1,,
574,3300,tt1000774,Sex and the City,2008,185,comedy,1,,
575,3301,tt0098724,Sex  Lies  and Videotape,1989,54,drama,3,,
576,3302,tt0376874,Sexual Life,2005,NA,drama,1,,
577,3306,tt0138097,Shakespeare in Love,1998,185,drama,3,,
578,3310,tt0111149,Shallow Grave,1994,5,crime,1,,
579,3313,tt1723811,Shame,2011,4,drama,3,,
580,3314,tt0073692,Shampoo,1975,NA,comedy,3,,
581,1320,tt0815236,She's Out of My League,2010,34,comedy,1,,
582,3323,tt1104126,Shifty,2008,NA,crime,3,,
583,1324,tt0073705,Shivers,1975,NA,horror,1,,
584,4107,tt0263265,Shortcut to Happiness,2003,NA,drama,0,,
587,3333,tt0375063,Sideways,2004,100,comedy,3,,
588,1325,tt0286106,Signs,2002,341,sci-fi,1,,
589,1329,tt0090021,Silver Bullet,1985,NA,horror,1,,
590,4960,tt0090022,Silverado,1985,81,action,2,,
591,3347,tt0105414,Single White Female,1992,100,horror,1,,
592,1333,tt0105417,Sister Act,1992,293,comedy,3,,
593,4968,tt0301848,Slash,2002,NA,horror,0,,
594,3357,tt0108160,Sleepless in Seattle,1993,266,comedy,3,,
595,3358,tt0162661,Sleepy Hollow,1999,172,horror,2,,
596,3361,tt0117666,Sling Blade,1996,48,drama,3,,
597,3364,tt0439815,Slither,2006,10,horror,1,,
598,3365,tt1010048,Slumdog Millionaire,2008,170,drama,3,,
599,4976,tt0114478,Smoke,1995,16,drama,1,,
600,4978,tt0076729,Smokey and the Bandit,1977,495,comedy,3,,
601,1340,tt0475394,Smokin' Aces,2006,47,action,1,,
603,1343,tt0120834,Snow Falling on Cedars,1999,24,drama,2,,
604,1342,tt0108174,So I Married an Axe Murderer,1993,24,comedy,0,,
605,3387,tt0120157,Soldier,1998,27,sci-fi,1,,
607,3390,tt0094008,Someone to Watch Over Me,1987,22,crime,1,,
609,5003,tt0069303,Sounder,1972,NA,drama,3,,
610,1348,tt0158983,South Park: Bigger Longer & Uncut,1999,89,comedy,1,,
611,5006,tt0120174,Spacejacked,1997,NA,sci-fi,0,,
613,1350,tt0360009,Spartan,2004,6,crime,0,,
614,1351,tt0811080,Speed Racer,2008,53,sci-fi,2,,
615,3407,tt0120184,Sphere,1998,68,sci-fi,1,,
616,3413,tt0090060,St. Elmo's Fire,1985,92,drama,1,,
619,1361,tt0796366,Star Trek,2009,299,sci-fi,2,fantasy? and below,
620,5028,tt0088170,Star Trek III: The Search for Spock,1984,197,sci-fi,1,,
621,5029,tt0092007,Star Trek IV: The Voyage Home,1986,257,sci-fi,2,,
622,5030,tt0098382,Star Trek V: The Final Frontier,1989,120,sci-fi,1,,
623,5033,tt0102975,Star Trek VI: The Undiscovered Country,1991,154,sci-fi,1,,
624,5036,tt0117731,Star Trek: First Contact,1996,181,sci-fi,2,,
625,5035,tt0111280,Star Trek: Generations,1994,157,sci-fi,1,,
626,5037,tt0120844,Star Trek: Insurrection,1998,130,sci-fi,1,,
627,5038,tt0253754,Star Trek: Nemesis,2002,64,sci-fi,1,,
628,5025,tt0079945,Star Trek: The Motion Picture,1979,285,sci-fi,2,,
630,1360,tt0121765,Star Wars: Episode II - Attack of the Clones,2002,465,sci-fi,2,,
631,1362,tt0076759,Star Wars: Episode IV - A New Hope,1977,1798,sci-fi,2,,
632,3433,tt0080684,Star Wars: Episode V - The Empire Strikes Back,1980,937,sci-fi,2,,
633,1359,tt0086190,Star Wars: Episode VI - Return of the Jedi,1983,853,sci-fi,2,,
634,1371,tt0088172,Starman,1984,74,sci-fi,3,,
635,1366,tt0120201,Starship Troopers,1997,103,sci-fi,2,,
636,1367,tt0120202,State and Main,2000,11,comedy,1,,
638,3447,tt0120686,Stepmom,1998,168,drama,3,,
639,3455,tt0250081,Storytelling,2001,1,drama,2,,
640,3457,tt0114558,Strange Days,1995,15,crime,1,,
641,5063,tt0111300,Stranglehold,1994,NA,action,0,,
642,5068,tt0120238,SubUrbia,1996,0,drama,1,,
643,3462,tt0990413,Sugar,2008,1,drama,3,,
644,3463,tt0186589,Sugar & Spice,2001,20,comedy,0,,
646,3467,tt0862846,Sunshine Cleaning,2008,14,drama,3,comedy,
647,3468,tt1650062,Super 8,2011,139,sci-fi,2,,
648,3469,tt0829482,Superbad,2007,153,comedy,2,,
649,3471,tt0088206,Supergirl,1984,35,action,1,sci-fi,
650,5072,tt0081573,Superman II,1980,349,action,1,sci-fi,
651,5075,tt0086393,Superman III,1983,165,action,1,sci-fi,
652,5076,tt0094074,Superman IV: The Quest for Peace,1987,34,action,1,sci-fi,
653,3478,tt0324127,Suspect Zero,2004,12,crime,0,,
656,3494,tt1675192,Take Shelter,2011,1,drama,2,,
659,3503,tt1486190,Tamara Drewe,2010,0,comedy,2,good doggo,
661,3505,tt0075314,Taxi Driver,1976,NA,drama,2,,
662,3509,tt1637725,Ted,2012,239,comedy,2,,
663,5104,tt0103064,Terminator 2: Judgment Day,1991,423,action,2,sci-fi? another terminator later,
664,1547,tt0096754,The Abyss,1989,118,sci-fi,2,,
666,3806,tt0098987,The Adventures of Ford Fairlane,1990,44,action,1,comedy, 
668,1637,tt0112346,The American President,1995,130,comedy,3,,
669,1647,tt2216212,The Amityville Asylum,2013,NA,horror,0,,
670,1666,tt0254099,The Anniversary Party,2001,6,comedy,2,,
672,697,tt0118647,The Assignment,1997,1,action,0,,
673,1723,tt0848228,The Avengers,2012,680,action,2,,
674,1734,tt1212436,The Back-up Plan,2010,41,comedy,2,,
676,1805,tt0247199,The Believer,2001,0,drama,3,,
677,1810,tt1412386,The Best Exotic Marigold Hotel,2011,50,comedy,3,,
678,1815,tt0095250,The Big Blue,1988,NA,drama,1,,
679,1823,tt0118715,The Big Lebowski,1998,32,comedy,3,,
681,745,tt0387877,The Black Dahlia,2006,29,crime,2,,
683,1855,tt0878804,The Blind Side,2009,296,drama,3,,
684,1856,tt2132285,The Bling Ring,2013,6,drama,1,,
686,761,tt0099165,The Bonfire of the Vanities,1990,32,drama,1,Razzie + Stinkers Bad Movie,
687,1886,tt1037705,The Book of Eli,2010,104,sci-fi,2,,
688,1892,tt0144117,The Boondock Saints,1999,NA,action,0,,
689,768,tt1038919,The Bounty Hunter,2010,73,comedy,1,Razzie,
690,1902,tt0258463,The Bourne Identity,2002,181,action,1,,
691,1907,tt0440963,The Bourne Ultimatum,2007,287,action,3,,
692,1919,tt0088847,The Breakfast Club,1985,93,comedy,2,,
693,1934,tt0844286,The Brothers Bloom,2008,4,comedy,1,,
694,1949,tt0289879,The Butterfly Effect,2004,NA,sci-fi,1,,
695,1976,tt0209958,The Cell,2000,98,sci-fi,2,,
697,806,tt0124315,The Cider House Rules,1999,98,drama,3,,
699,2054,tt0318374,The Cooler,2003,11,drama,3,,
701,2087,tt0109506,The Crow,1994,105,sci-fi,2,,
703,2085,tt0132910,The Crow: Salvation,2000,NA,sci-fi,0,,
704,2093,tt0104036,The Crying Game,1992,131,drama,3,,
706,2099,tt1226271,The Damned United,2009,0,drama,1,,
707,846,tt0068451,The Day the Clown Cried,1972,NA,drama,0,,
709,2133,tt1226753,The Debt,2010,34,drama,1,,
711,853,tt0077416,The Deer Hunter,1978,NA,drama,3,,
712,2144,tt0407887,The Departed,2006,175,crime,3,,
713,2146,tt1033575,The Descendants,2011,90,drama,3,,
714,2153,tt0118971,The Devil's Advocate,1997,115,drama,2,,
715,871,tt0101761,The Doors,1991,72,drama,1,,
716,886,tt0080678,The Elephant Man,1980,NA,drama,3,,
717,2224,tt0116209,The English Patient,1996,154,drama,3,,
718,4184,tt0070047,The Exorcist,1973,195,horror,3,,
719,2259,tt0097322,The Fabulous Baker Boys,1989,36,drama,3,,
720,2263,tt0218967,The Family Man,2000,122,sci-fi,1,?,
721,4193,tt0109770,The Fantastic Four,1994,NA,action,0,,
722,2275,tt2582846,The Fault in Our Stars,2014,133,drama,2,,
723,911,tt0119116,The Fifth Element,1997,120,action,2,,
724,4208,tt1837703,The Fifth Estate,2013,3,drama,3,,
725,4216,tt0101889,The Fisher King,1991,86,drama,3,,
726,2328,tt0067116,The French Connection,1971,NA,drama,3,,
727,2347,tt0106977,The Fugitive,1993,386,action,3,,
728,4258,tt0119174,The Game,1997,91,drama,1,,
729,2387,tt0068638,The Getaway,1972,138,action,2,,
730,2391,tt0116409,The Ghost and the Darkness,1996,75,drama,2,,
731,4277,tt0068646,The Godfather,1972,690,crime,3,,
732,4280,tt0071562,The Godfather: Part II,1974,266,crime,3,,
733,2426,tt0279113,The Good Girl,2002,20,drama,2,,
736,2455,tt0099703,The Grifters,1990,27,crime,3,,
737,2460,tt0391198,The Grudge,2004,154,horror,1,,
738,2469,tt1119646,The Hangover,2009,321,comedy,3,,
739,2497,tt0171363,The Haunting,1999,156,horror,1,,
740,2510,tt0317640,The Hebrew Hammer,2003,NA,comedy,0,,
741,2530,tt1454029,The Help,2011,186,drama,3,,
742,2547,tt0371724,The Hitchhiker's Guide to the Galaxy,2005,69,sci-fi,1,,
743,2552,tt0119314,The Horse Whisperer,1998,139,drama,3,,
744,1017,tt0067217,The Hospital,1971,NA,comedy,3,,
745,1021,tt0110074,The Hudsucker Proxy,1994,5,comedy,1,,
747,2591,tt0119349,The Ice Storm,1997,14,drama,3,,
748,2594,tt1054606,The Imaginarium of Doctor Parnassus,2009,8,sci-fi,2,,
749,2616,tt0140352,The Insider,1999,49,drama,3,,
750,1044,tt1058017,The Invention of Lying,2009,21,comedy,1,,
751,1046,tt0317740,The Italian Job,2003,152,action,1,,
752,2651,tt0366627,The Jacket,2005,8,sci-fi,1,,
753,1071,tt0085794,The King of Comedy,1982,7,comedy,3,,
754,1073,tt0431197,The Kingdom,2007,60,action,1,,
755,4496,tt0335245,The Ladykillers,2004,55,comedy,1,,
756,4503,tt0104691,The Last of the Mohicans,1992,151,action,3,,
757,2739,tt0325710,The Last Samurai,2003,160,action,3,,
758,2742,tt0824758,The Last Station,2009,7,drama,3,,
760,1100,tt0289992,The Life of David Gale,2003,28,crime,1,,
761,2772,tt0165854,The Limey,1999,5,crime,1,,
762,1111,tt0116908,The Long Kiss Goodnight,1996,65,drama,1,,
763,1114,tt0167260,The Lord of the Rings: The Return of the King,2003,543,sci-fi,3,,
764,1116,tt0167261,The Lord of the Rings: The Two Towers,2002,509,sci-fi,3,,
765,2805,tt0480255,The Losers,2010,25,action,2,,
768,4464,tt0119567,The Lost World: Jurassic Park,1997,434,sci-fi,2,,
769,4577,tt0097806,The Magic Toyshop,1987,NA,sci-fi,1,,
770,1132,tt0120744,The Man in the Iron Mask,1998,105,action,1,,
773,1140,tt0110475,The Mask,1994,249,comedy,3,,
774,1141,tt0133093,The Matrix,1999,292,sci-fi,2,,
776,1176,tt0120616,The Mummy,1999,265,sci-fi,2,,
777,2997,tt1458175,The Next Three Days,2010,23,drama,1,,
779,3010,tt0810988,The Nines,2007,NA,sci-fi,1,,
781,1212,tt0467200,The Other Boleyn Girl,2008,32,drama,2,,
782,1216,tt0395699,The Pacifier,2005,153,comedy,2,,
783,1218,tt0187393,The Patriot,2000,182,drama,2,,
784,3079,tt1659337,The Perks of Being a Wallflower,2012,19,comedy,2,,
785,3092,tt0253474,The Pianist,2002,48,drama,3,,
786,3095,tt0107822,The Piano,1993,84,drama,3,,
787,4804,tt0086122,The Ploughman's Lunch,1983,NA,drama,3,,
788,3120,tt0119925,The Postman,1997,33,action,1,,
789,1241,tt0105159,The Power of One,1992,5,drama,0,,
790,1246,tt0093779,The Princess Bride,1987,68,comedy,2,,
791,3140,tt0066249,The Private Life of Sherlock Holmes,1970,NA,action,1,??,
792,3141,tt0395251,The Producers,2005,26,comedy,3,,
793,3142,tt0107889,The Program,1993,48,action,0,drama?,
794,1252,tt0114194,The Prophecy,1995,32,sci-fi,0,horror? drama?,
795,1258,tt0436697,The Queen,2006,74,drama,3,,
796,3178,tt0976051,The Reader,2008,41,drama,3,,
797,3192,tt0120004,The Relic,1997,64,horror,0,,
798,1274,tt0191397,The Replacements,2000,72,comedy,0,,
800,1281,tt0073629,The Rocky Horror Picture Show,1975,594,comedy,1,,
801,3237,tt1265990,The Roommate,2011,40,horror,2,,
803,1296,tt0235737,The Salton Sea,2002,1,crime,1,,
804,3262,tt0108037,The Sandlot,1993,68,comedy,1,,
806,3298,tt1866249,The Sessions,2012,6,comedy,3,,
810,3325,tt0081505,The Shining,1980,NA,horror,1,,
811,3327,tt0120824,The Shipping News,2001,17,drama,3,,
812,3336,tt0133952,The Siege,1998,75,action,1,,
813,1330,tt0102926,The Silence of the Lambs,1991,270,horror,3,,
814,3352,tt0167404,The Sixth Sense,1999,503,horror,3,,
815,1370,tt0070735,The Sting,1973,786,crime,3,,
817,3473,tt0418206,The Surfer King,2006,NA,comedy,0,,
818,3483,tt0120255,The Sweet Hereafter,1997,8,drama,3,,
819,3500,tt0134119,The Talented Mr. Ripley,1999,139,crime,3,,
820,3511,tt0088247,The Terminator,1984,99,action,1,,
822,3546,tt0108333,The Three Musketeers,1993,113,action,2,,
823,3557,tt0268695,The Time Machine,2002,84,sci-fi,2,,
824,1434,tt0120382,The Truman Show,1998,233,comedy,3,,
825,5164,tt1259571,The Twilight Saga: New Moon,2009,344,sci-fi,2,,
826,3631,tt1142988,The Ugly Truth,2009,103,comedy,2,,
827,5179,tt0114814,The Usual Suspects,1995,46,crime,3,,
828,3654,tt0084855,The Verdict,1982,159,drama,3,,
829,5186,tt0368447,The Village,2004,159,drama,2,,
830,3667,tt0857191,The Visitor,2007,11,drama,3,,
832,4992,tt0372532,The Wedding Date,2005,42,comedy,0,,
833,3701,tt0896872,The Whistleblower,2010,1,crime,1,,
835,3737,tt0993846,The Wolf of Wall Street,2013,125,drama,3,,
836,3742,tt0361127,The Woodsman,2004,NA,drama,1,,
837,3745,tt0143145,The World Is Not Enough,1999,217,action,1,,
838,3746,tt1125849,The Wrestler,2008,31,drama,3,,
839,3519,tt0103074,Thelma & Louise,1991,93,crime,3,adventure crime drama,
840,3521,tt0129387,There's Something About Mary,1998,326,comedy,3,,
841,1401,tt0146309,Thirteen Days,2000,55,drama,1,,
842,3536,tt1758830,This Is 40,2012,73,comedy,1,,
843,3548,tt0167456,Thunderbirds,2004,9,action,1,Stinkers Bad Movie Awards,
844,1409,tt0105585,Thunderheart,1992,47,crime,1,,
845,5130,tt0066434,THX 1138,1971,NA,sci-fi,1,,
846,1407,tt0196158,Ticker,2001,NA,action,1,,
847,3554,tt0857295,Timber Falls,2007,NA,horror,0,,
848,1412,tt0117918,Tin Cup,1996,106,comedy,3,,
849,3563,tt1340800,Tinker Tailor Soldier Spy,2011,26,drama,3,,
850,5136,tt0120338,Titanic,1997,1249,drama,3,,
852,3569,tt0100791,To Sleep with Anger,1990,2,drama,3,,
853,3574,tt0120347,Tomorrow Never Dies,1997,236,action,2,,
854,3576,tt0092099,Top Gun,1986,422,action,2,,
856,1423,tt0181865,Traffic,2000,200,crime,3,,
859,3597,tt0100814,Tremors,1990,34,comedy,1,,
860,3599,tt0375154,Tristan + Isolde,2006,19,drama,0,,
861,1393,tt0084827,TRON,1982,97,sci-fi,2,,
863,5155,tt0098524,True Believer,1989,19,drama,1,,
864,3609,tt0111503,True Lies,1994,303,action,3,,
865,3612,tt0108399,True Romance,1993,25,crime,2,,
866,5160,tt0114746,Twelve Monkeys,1995,113,sci-fi,3,,
867,3621,tt1099212,Twilight,2008,231,sci-fi,2,,
868,5166,tt0105665,Twin Peaks: Fire Walk with Me,1992,8,horror,3,,
869,3625,tt0096320,Twins,1988,237,comedy,1,,
870,3627,tt0417217,Two for the Money,2005,31,drama,1,,
871,3629,tt0120399,U Turn,1997,12,crime,1,,
872,1438,tt0217869,Unbreakable,2000,153,sci-fi,0,drama? mystery? but it's M Night Shyamalan,
873,3635,tt0086510,Under Fire,1983,15,drama,3,,
875,3643,tt1193138,Up in the Air,2009,97,drama,3,,
876,1444,tt0434409,V for Vendetta,2005,95,drama,0,,
877,3650,tt0985699,Valkyrie,2008,100,action,1,,
878,1447,tt0259711,Vanilla Sky,2001,155,sci-fi,3,sci-fi? romance?,
880,1451,tt0124198,Very Bad Things,1998,18,comedy,1,,
882,3668,tt0120885,Wag the Dog,1997,81,drama,3,,
883,1452,tt0351977,Walking Tall,2004,64,action,2,,
884,3673,tt0094291,Wall Street,1987,97,crime,3,,
885,3680,tt1568911,War Horse,2011,87,drama,3,,
887,3686,tt1291584,Warrior,2011,15,action,3,,
888,1465,tt0498399,We Own the Night,2007,36,crime,3,,
889,3694,tt0161081,What Lies Beneath,2000,250,horror,1,,
890,1467,tt0887971,While She Was Out,2008,NA,crime,0,,
891,5223,tt0108558,White Angel,1994,NA,drama,0,,
893,1470,tt0118158,White Squall,1996,20,drama,1,,
894,1471,tt0365929,Whiteout,2009,11,crime,0,,
896,3713,tt0100935,Wild at Heart,1990,30,drama,3,,
897,3720,tt0120890,Wild Things,1998,55,crime,2,,
898,3723,tt0120891,Wild Wild West,1999,195,action,2,,
900,3724,tt0096446,Willow,1988,121,action,2,,
901,3726,tt1606392,Win Win,2011,11,comedy,1,,
902,1482,tt0090329,Witness,1985,160,drama,3,,
903,3740,tt0185014,Wonder Boys,2000,31,drama,3,,
906,1497,tt0295701,xXx,2002,211,action,2,,
907,3759,tt1068680,Yes Man,2008,118,comedy,2,,
908,3761,tt0203230,You Can Count on Me,2000,14,drama,3,,
909,3763,tt0128853,You've Got Mail,1998,215,comedy,3,,
910,5254,tt0072431,Young Frankenstein,1974,401,comedy,3,,
911,3765,tt0403702,Youth in Revolt,2009,17,comedy,2,,
912,3768,tt0421090,Zerophilia,2005,NA,comedy,1,,
